1772219448.39996_7419.mark-pc-ubuntu,U=7419
1772477852.732433_41875.mark-pc-ubuntu,U=167011
1772509269.1420016_6074.mark-pc-ubuntu,U=180984
1772487135.732433_43857.mark-pc-ubuntu,U=168993
1772581859.2143882_821.mark-pc-ubuntu,U=232692
1772531558.1420016_34793.mark-pc-ubuntu,U=209703
1772543021.1420016_43406.mark-pc-ubuntu,U=218316
1772231188.39996_35697.mark-pc-ubuntu,U=35697
1772420471.454304_19464.mark-pc-ubuntu,U=120537
1772525556.1420016_28063.mark-pc-ubuntu,U=202973
1772436882.732433_21336.mark-pc-ubuntu,U=146472
1772427459.732433_7748.mark-pc-ubuntu,U=132884
1772417358.454304_12373.mark-pc-ubuntu,U=113446
1772526204.1420016_28897.mark-pc-ubuntu,U=203807
1772446697.732433_30616.mark-pc-ubuntu,U=155752
1772311821.161440_11136.mark-pc-ubuntu,U=80500
1772506392.1420016_2240.mark-pc-ubuntu,U=177150
1772419507.454304_18504.mark-pc-ubuntu,U=119577
1772320714.161440_25026.mark-pc-ubuntu,U=94390
1772559783.1420016_51086.mark-pc-ubuntu,U=225996
1772218839.39996_3123.mark-pc-ubuntu,U=3123
1772416562.454304_10570.mark-pc-ubuntu,U=111643
1772417919.454304_15432.mark-pc-ubuntu,U=116505
1772218710.39996_2225.mark-pc-ubuntu,U=2225
1772522898.1420016_24650.mark-pc-ubuntu,U=199560
1772510892.1420016_8454.mark-pc-ubuntu,U=183364
1772223250.39996_17223.mark-pc-ubuntu,U=17223
1772424812.732433_3159.mark-pc-ubuntu,U=128295
1772541359.1420016_42427.mark-pc-ubuntu,U=217337
1772428078.732433_8659.mark-pc-ubuntu,U=133795
1772241167.39996_51391.mark-pc-ubuntu,U=51391
1772558374.1420016_50552.mark-pc-ubuntu,U=225462
1772431983.732433_14729.mark-pc-ubuntu,U=139865
1772423879.732433_1424.mark-pc-ubuntu,U=126560
1772443384.732433_28205.mark-pc-ubuntu,U=153341
1772445798.732433_30013.mark-pc-ubuntu,U=155149
1772437540.732433_22148.mark-pc-ubuntu,U=147284
1772533515.1420016_36657.mark-pc-ubuntu,U=211567
1772471369.732433_40293.mark-pc-ubuntu,U=165429
1772527787.1420016_30722.mark-pc-ubuntu,U=205632
1772232421.39996_37700.mark-pc-ubuntu,U=37700
1772447999.732433_31417.mark-pc-ubuntu,U=156553
1772531764.1420016_35011.mark-pc-ubuntu,U=209921
1772434852.732433_18830.mark-pc-ubuntu,U=143966
1772520142.1420016_20870.mark-pc-ubuntu,U=195780
1772319905.161440_23648.mark-pc-ubuntu,U=93012
1772527614.1420016_30503.mark-pc-ubuntu,U=205413
1772419281.454304_18239.mark-pc-ubuntu,U=119312
1772424900.732433_3366.mark-pc-ubuntu,U=128502
1772539693.1420016_41357.mark-pc-ubuntu,U=216267
1772315475.161440_16428.mark-pc-ubuntu,U=85792
1772303506.161440_988.mark-pc-ubuntu,U=70352
1772499153.732433_46146.mark-pc-ubuntu,U=171282
1772245111.39996_56427.mark-pc-ubuntu,U=56427
1772306749.161440_4298.mark-pc-ubuntu,U=73662
1772413880.454304_6004.mark-pc-ubuntu,U=107077
1772219220.39996_5798.mark-pc-ubuntu,U=5798
1772228268.39996_28471.mark-pc-ubuntu,U=28471
1772432298.732433_15185.mark-pc-ubuntu,U=140321
1772446842.732433_30706.mark-pc-ubuntu,U=155842
1772228703.39996_29661.mark-pc-ubuntu,U=29661
1772470643.732433_40102.mark-pc-ubuntu,U=165238
1772445630.732433_29896.mark-pc-ubuntu,U=155032
1772468871.732433_39621.mark-pc-ubuntu,U=164757
1772418644.454304_17275.mark-pc-ubuntu,U=118348
1772525045.1420016_27388.mark-pc-ubuntu,U=202298
1772320397.161440_24514.mark-pc-ubuntu,U=93878
1772425311.732433_4386.mark-pc-ubuntu,U=129522
1772305191.161440_2247.mark-pc-ubuntu,U=71611
1772226555.39996_24276.mark-pc-ubuntu,U=24276
1772441662.732433_26734.mark-pc-ubuntu,U=151870
1772219903.39996_10683.mark-pc-ubuntu,U=10683
1772433808.732433_17411.mark-pc-ubuntu,U=142547
1772305530.161440_2739.mark-pc-ubuntu,U=72103
1772423843.732433_1350.mark-pc-ubuntu,U=126486
1772532199.1420016_35456.mark-pc-ubuntu,U=210366
1772417326.454304_12075.mark-pc-ubuntu,U=113148
1772507525.1420016_3941.mark-pc-ubuntu,U=178851
1772413355.454304_94.mark-pc-ubuntu,U=101167
1772223731.39996_19192.mark-pc-ubuntu,U=19192
1772585274.2143882_1705.mark-pc-ubuntu,U=233576
1772417301.454304_11812.mark-pc-ubuntu,U=112885
1772491563.732433_44701.mark-pc-ubuntu,U=169837
1772548615.1420016_46332.mark-pc-ubuntu,U=221242
1772301445.161440_197.mark-pc-ubuntu,U=69561
1772429846.732433_11831.mark-pc-ubuntu,U=136967
1772597185.9679_3.mark-pc-ubuntu,U=237536
1772561085.1420016_51580.mark-pc-ubuntu,U=226490
1772421952.454304_23276.mark-pc-ubuntu,U=124349
1772220711.39996_13070.mark-pc-ubuntu,U=13070
1772232944.39996_38578.mark-pc-ubuntu,U=38578
1772417194.454304_11504.mark-pc-ubuntu,U=112577
1772514807.1420016_13870.mark-pc-ubuntu,U=188780
1772445660.732433_29917.mark-pc-ubuntu,U=155053
1772518659.1420016_19100.mark-pc-ubuntu,U=194010
1772436125.732433_20391.mark-pc-ubuntu,U=145527
1772511820.1420016_9770.mark-pc-ubuntu,U=184680
1772417622.454304_14069.mark-pc-ubuntu,U=115142
1772254346.39996_65133.mark-pc-ubuntu,U=65133
1772418421.454304_16827.mark-pc-ubuntu,U=117900
1772258609.39996_67440.mark-pc-ubuntu,U=67440
1772417541.454304_13504.mark-pc-ubuntu,U=114577
1772252638.39996_64011.mark-pc-ubuntu,U=64011
1772465981.732433_38789.mark-pc-ubuntu,U=163925
1772430079.732433_12219.mark-pc-ubuntu,U=137355
1772246454.39996_58187.mark-pc-ubuntu,U=58187
1772425604.732433_5118.mark-pc-ubuntu,U=130254
1772230607.39996_34149.mark-pc-ubuntu,U=34149
1772251990.39996_63548.mark-pc-ubuntu,U=63548
1772320105.161440_24009.mark-pc-ubuntu,U=93373
1772219619.39996_8064.mark-pc-ubuntu,U=8064
1772241782.39996_52165.mark-pc-ubuntu,U=52165
1772441680.732433_26751.mark-pc-ubuntu,U=151887
1772475638.732433_41357.mark-pc-ubuntu,U=166493
1772227077.39996_25340.mark-pc-ubuntu,U=25340
1772308269.161440_5964.mark-pc-ubuntu,U=75328
1772219727.39996_9011.mark-pc-ubuntu,U=9011
1772219930.39996_10794.mark-pc-ubuntu,U=10794
1772413388.454304_464.mark-pc-ubuntu,U=101537
1772571063.1420016_54920.mark-pc-ubuntu,U=229830
1772319181.161440_21932.mark-pc-ubuntu,U=91296
1772417800.454304_14939.mark-pc-ubuntu,U=116012
1772421481.454304_21825.mark-pc-ubuntu,U=122898
1772232471.39996_37774.mark-pc-ubuntu,U=37774
1772518871.1420016_19373.mark-pc-ubuntu,U=194283
1772460460.732433_37010.mark-pc-ubuntu,U=162146
1772218983.39996_4008.mark-pc-ubuntu,U=4008
1772308673.161440_6805.mark-pc-ubuntu,U=76169
1772433535.732433_16970.mark-pc-ubuntu,U=142106
1772414210.454304_7965.mark-pc-ubuntu,U=109038
1772248206.39996_60236.mark-pc-ubuntu,U=60236
1772528584.1420016_31736.mark-pc-ubuntu,U=206646
1772424912.732433_3396.mark-pc-ubuntu,U=128532
1772429342.732433_10939.mark-pc-ubuntu,U=136075
1772317191.161440_19246.mark-pc-ubuntu,U=88610
1772425303.732433_4373.mark-pc-ubuntu,U=129509
1772515531.1420016_14836.mark-pc-ubuntu,U=189746
1772467181.732433_39142.mark-pc-ubuntu,U=164278
1772430403.732433_12700.mark-pc-ubuntu,U=137836
1772425819.732433_5645.mark-pc-ubuntu,U=130781
1772227451.39996_26411.mark-pc-ubuntu,U=26411
1772426704.732433_6896.mark-pc-ubuntu,U=132032
1772308143.161440_5749.mark-pc-ubuntu,U=75113
1772521061.1420016_22131.mark-pc-ubuntu,U=197041
1772428209.732433_8877.mark-pc-ubuntu,U=134013
1772231527.39996_36451.mark-pc-ubuntu,U=36451
1772425005.732433_3603.mark-pc-ubuntu,U=128739
1772323687.161440_29049.mark-pc-ubuntu,U=98413
1772548453.1420016_46255.mark-pc-ubuntu,U=221165
1772513456.1420016_11794.mark-pc-ubuntu,U=186704
1772494214.732433_45181.mark-pc-ubuntu,U=170317
1772323404.161440_28619.mark-pc-ubuntu,U=97983
1772534631.1420016_37549.mark-pc-ubuntu,U=212459
1772223794.39996_19374.mark-pc-ubuntu,U=19374
1772417205.454304_11525.mark-pc-ubuntu,U=112598
1772305610.161440_2849.mark-pc-ubuntu,U=72213
1772439852.732433_24892.mark-pc-ubuntu,U=150028
1772508525.1420016_5208.mark-pc-ubuntu,U=180118
1772318815.161440_21325.mark-pc-ubuntu,U=90689
1772241045.39996_51252.mark-pc-ubuntu,U=51252
1772413885.454304_6057.mark-pc-ubuntu,U=107130
1772419666.454304_18677.mark-pc-ubuntu,U=119750
1772232588.39996_38017.mark-pc-ubuntu,U=38017
1772488065.732433_44039.mark-pc-ubuntu,U=169175
1772253420.39996_64544.mark-pc-ubuntu,U=64544
1772308737.161440_6945.mark-pc-ubuntu,U=76309
1772417994.454304_15720.mark-pc-ubuntu,U=116793
1772220367.39996_12447.mark-pc-ubuntu,U=12447
1772236361.39996_44028.mark-pc-ubuntu,U=44028
1772235660.39996_42938.mark-pc-ubuntu,U=42938
1772237100.39996_45460.mark-pc-ubuntu,U=45460
1772247016.39996_58911.mark-pc-ubuntu,U=58911
1772522733.1420016_24449.mark-pc-ubuntu,U=199359
1772306820.161440_4380.mark-pc-ubuntu,U=73744
1772224896.39996_21943.mark-pc-ubuntu,U=21943
1772245515.39996_56889.mark-pc-ubuntu,U=56889
1772218805.39996_2878.mark-pc-ubuntu,U=2878
1772414666.454304_8946.mark-pc-ubuntu,U=110019
1772228662.39996_29509.mark-pc-ubuntu,U=29509
1772224400.39996_21094.mark-pc-ubuntu,U=21094
1772529351.1420016_32613.mark-pc-ubuntu,U=207523
1772414227.454304_8006.mark-pc-ubuntu,U=109079
1772323933.5014_25.mark-pc-ubuntu,U=98461
1772219299.39996_6590.mark-pc-ubuntu,U=6590
1772429887.732433_11900.mark-pc-ubuntu,U=137036
1772323695.161440_29059.mark-pc-ubuntu,U=98423
1772308000.161440_5622.mark-pc-ubuntu,U=74986
1772423918.732433_1512.mark-pc-ubuntu,U=126648
1772519335.1420016_19970.mark-pc-ubuntu,U=194880
1772530537.1420016_33822.mark-pc-ubuntu,U=208732
1772507901.1420016_4450.mark-pc-ubuntu,U=179360
1772231351.39996_36072.mark-pc-ubuntu,U=36072
1772427866.732433_8354.mark-pc-ubuntu,U=133490
1772413580.454304_2623.mark-pc-ubuntu,U=103696
1772530341.1420016_33636.mark-pc-ubuntu,U=208546
1772506830.1420016_2929.mark-pc-ubuntu,U=177839
1772447776.732433_31281.mark-pc-ubuntu,U=156417
1772238458.39996_47755.mark-pc-ubuntu,U=47755
1772219517.39996_7712.mark-pc-ubuntu,U=7712
1772310339.161440_9323.mark-pc-ubuntu,U=78687
1772224414.39996_21127.mark-pc-ubuntu,U=21127
1772433466.732433_16851.mark-pc-ubuntu,U=141987
1772228928.39996_30313.mark-pc-ubuntu,U=30313
1772535385.1420016_38182.mark-pc-ubuntu,U=213092
1772425494.732433_4872.mark-pc-ubuntu,U=130008
1772424233.732433_2111.mark-pc-ubuntu,U=127247
1772218838.39996_3107.mark-pc-ubuntu,U=3107
1772308663.161440_6786.mark-pc-ubuntu,U=76150
1772230923.39996_34998.mark-pc-ubuntu,U=34998
1772433313.732433_16622.mark-pc-ubuntu,U=141758
1772440940.732433_26027.mark-pc-ubuntu,U=151163
1772466736.732433_39012.mark-pc-ubuntu,U=164148
1772469410.732433_39770.mark-pc-ubuntu,U=164906
1772234379.39996_40535.mark-pc-ubuntu,U=40535
1772429413.732433_11082.mark-pc-ubuntu,U=136218
1772581907.2143882_834.mark-pc-ubuntu,U=232705
1772229045.39996_30578.mark-pc-ubuntu,U=30578
1772439815.732433_24854.mark-pc-ubuntu,U=149990
1772414377.454304_8409.mark-pc-ubuntu,U=109482
1772413497.454304_1760.mark-pc-ubuntu,U=102833
1772436558.732433_20922.mark-pc-ubuntu,U=146058
1772414118.454304_7617.mark-pc-ubuntu,U=108690
1772218873.39996_3332.mark-pc-ubuntu,U=3332
1772238945.39996_48588.mark-pc-ubuntu,U=48588
1772219854.39996_10329.mark-pc-ubuntu,U=10329
1772317246.161440_19327.mark-pc-ubuntu,U=88691
1772234372.39996_40523.mark-pc-ubuntu,U=40523
1772240876.39996_51024.mark-pc-ubuntu,U=51024
1772421655.454304_22428.mark-pc-ubuntu,U=123501
1772219360.39996_6979.mark-pc-ubuntu,U=6979
1772228747.39996_29814.mark-pc-ubuntu,U=29814
1772417585.454304_13785.mark-pc-ubuntu,U=114858
1772434672.732433_18587.mark-pc-ubuntu,U=143723
1772538004.1420016_40163.mark-pc-ubuntu,U=215073
1772220251.39996_12153.mark-pc-ubuntu,U=12153
1772514933.1420016_14040.mark-pc-ubuntu,U=188950
1772235763.39996_43094.mark-pc-ubuntu,U=43094
1772305868.161440_3206.mark-pc-ubuntu,U=72570
1772233795.39996_39544.mark-pc-ubuntu,U=39544
1772427221.732433_7426.mark-pc-ubuntu,U=132562
1772229696.39996_31778.mark-pc-ubuntu,U=31778
1772446046.732433_30180.mark-pc-ubuntu,U=155316
1772439379.732433_24376.mark-pc-ubuntu,U=149512
1772505258.1420016_960.mark-pc-ubuntu,U=175870
1772516791.1420016_16312.mark-pc-ubuntu,U=191222
1772531901.1420016_35153.mark-pc-ubuntu,U=210063
1772472998.732433_40710.mark-pc-ubuntu,U=165846
1772315653.161440_16745.mark-pc-ubuntu,U=86109
1772436225.732433_20513.mark-pc-ubuntu,U=145649
1772241504.39996_51805.mark-pc-ubuntu,U=51805
1772307204.161440_4803.mark-pc-ubuntu,U=74167
1772567308.1420016_53733.mark-pc-ubuntu,U=228643
1772424956.732433_3498.mark-pc-ubuntu,U=128634
1772225154.39996_22261.mark-pc-ubuntu,U=22261
1772219404.39996_7208.mark-pc-ubuntu,U=7208
1772430372.732433_12658.mark-pc-ubuntu,U=137794
1772424493.732433_2550.mark-pc-ubuntu,U=127686
1772236565.39996_44344.mark-pc-ubuntu,U=44344
1772516096.1420016_15519.mark-pc-ubuntu,U=190429
1772513745.1420016_12276.mark-pc-ubuntu,U=187186
1772255970.39996_66090.mark-pc-ubuntu,U=66090
1772441126.732433_26210.mark-pc-ubuntu,U=151346
1772447020.732433_30815.mark-pc-ubuntu,U=155951
1772435957.732433_20180.mark-pc-ubuntu,U=145316
1772248253.39996_60287.mark-pc-ubuntu,U=60287
1772459143.732433_36545.mark-pc-ubuntu,U=161681
1772249777.39996_61762.mark-pc-ubuntu,U=61762
1772423909.732433_1491.mark-pc-ubuntu,U=126627
1772219822.39996_10019.mark-pc-ubuntu,U=10019
1772456863.732433_35681.mark-pc-ubuntu,U=160817
1772243113.39996_54065.mark-pc-ubuntu,U=54065
1772514915.1420016_14016.mark-pc-ubuntu,U=188926
1772524749.1420016_26975.mark-pc-ubuntu,U=201885
1772519478.1420016_20149.mark-pc-ubuntu,U=195059
1772417748.454304_14730.mark-pc-ubuntu,U=115803
1772237497.39996_46173.mark-pc-ubuntu,U=46173
1772537160.1420016_39576.mark-pc-ubuntu,U=214486
1772558371.1420016_50551.mark-pc-ubuntu,U=225461
1772555038.1420016_49220.mark-pc-ubuntu,U=224130
1772219459.39996_7493.mark-pc-ubuntu,U=7493
1772428939.732433_10110.mark-pc-ubuntu,U=135246
1772499199.732433_46176.mark-pc-ubuntu,U=171312
1772428158.732433_8788.mark-pc-ubuntu,U=133924
1772482859.732433_42981.mark-pc-ubuntu,U=168117
1772417433.454304_12973.mark-pc-ubuntu,U=114046
1772508865.1420016_5612.mark-pc-ubuntu,U=180522
1772238546.39996_47903.mark-pc-ubuntu,U=47903
1772417370.454304_12490.mark-pc-ubuntu,U=113563
1772420477.454304_19470.mark-pc-ubuntu,U=120543
1772413703.454304_3911.mark-pc-ubuntu,U=104984
1772228564.39996_29064.mark-pc-ubuntu,U=29064
1772413902.454304_6241.mark-pc-ubuntu,U=107314
1772512824.1420016_10971.mark-pc-ubuntu,U=185881
1772532207.1420016_35465.mark-pc-ubuntu,U=210375
1772421924.454304_23203.mark-pc-ubuntu,U=124276
1772510860.1420016_8409.mark-pc-ubuntu,U=183319
1772513441.1420016_11766.mark-pc-ubuntu,U=186676
1772247589.39996_59587.mark-pc-ubuntu,U=59587
1772432846.732433_15938.mark-pc-ubuntu,U=141074
1772413707.454304_3928.mark-pc-ubuntu,U=105001
1772502668.732433_48278.mark-pc-ubuntu,U=173414
1772307754.161440_5377.mark-pc-ubuntu,U=74741
1772423610.732433_776.mark-pc-ubuntu,U=125912
1772218613.39996_1532.mark-pc-ubuntu,U=1532
1772316381.161440_17993.mark-pc-ubuntu,U=87357
1772553987.1420016_48786.mark-pc-ubuntu,U=223696
1772516659.1420016_16164.mark-pc-ubuntu,U=191074
1772529769.1420016_33062.mark-pc-ubuntu,U=207972
1772509070.1420016_5845.mark-pc-ubuntu,U=180755
1772521149.1420016_22257.mark-pc-ubuntu,U=197167
1772254682.39996_65340.mark-pc-ubuntu,U=65340
1772430517.732433_12860.mark-pc-ubuntu,U=137996
1772417702.454304_14519.mark-pc-ubuntu,U=115592
1772219088.39996_4736.mark-pc-ubuntu,U=4736
1772321598.161440_26234.mark-pc-ubuntu,U=95598
1772421143.454304_20658.mark-pc-ubuntu,U=121731
1772420171.454304_19189.mark-pc-ubuntu,U=120262
1772244454.39996_55685.mark-pc-ubuntu,U=55685
1772232508.39996_37833.mark-pc-ubuntu,U=37833
1772221112.39996_13552.mark-pc-ubuntu,U=13552
1772413674.454304_3611.mark-pc-ubuntu,U=104684
1772421171.454304_20756.mark-pc-ubuntu,U=121829
1772241355.39996_51636.mark-pc-ubuntu,U=51636
1772218903.39996_3489.mark-pc-ubuntu,U=3489
1772219698.39996_8691.mark-pc-ubuntu,U=8691
1772437985.732433_22703.mark-pc-ubuntu,U=147839
1772519419.1420016_20072.mark-pc-ubuntu,U=194982
1772320383.161440_24487.mark-pc-ubuntu,U=93851
1772494424.732433_45218.mark-pc-ubuntu,U=170354
1772228679.39996_29575.mark-pc-ubuntu,U=29575
1772227223.39996_25828.mark-pc-ubuntu,U=25828
1772250436.39996_62316.mark-pc-ubuntu,U=62316
1772242323.39996_52901.mark-pc-ubuntu,U=52901
1772230808.39996_34713.mark-pc-ubuntu,U=34713
1772525784.1420016_28396.mark-pc-ubuntu,U=203306
1772427020.732433_7196.mark-pc-ubuntu,U=132332
1772319548.161440_22909.mark-pc-ubuntu,U=92273
1772221814.39996_14147.mark-pc-ubuntu,U=14147
1772223018.39996_16713.mark-pc-ubuntu,U=16713
1772218781.39996_2677.mark-pc-ubuntu,U=2677
1772254262.39996_65080.mark-pc-ubuntu,U=65080
1772230099.39996_32689.mark-pc-ubuntu,U=32689
1772430800.732433_13224.mark-pc-ubuntu,U=138360
1772306696.161440_4239.mark-pc-ubuntu,U=73603
1772219675.39996_8454.mark-pc-ubuntu,U=8454
1772434528.732433_18403.mark-pc-ubuntu,U=143539
1772547811.1420016_45950.mark-pc-ubuntu,U=220860
1772435055.732433_19072.mark-pc-ubuntu,U=144208
1772492844.732433_44936.mark-pc-ubuntu,U=170072
1772521404.1420016_22637.mark-pc-ubuntu,U=197547
1772413877.454304_5964.mark-pc-ubuntu,U=107037
1772219017.39996_4204.mark-pc-ubuntu,U=4204
1772231801.39996_36912.mark-pc-ubuntu,U=36912
1772229136.39996_30761.mark-pc-ubuntu,U=30761
1772218664.39996_1917.mark-pc-ubuntu,U=1917
1772220770.39996_13155.mark-pc-ubuntu,U=13155
1772303607.161440_1026.mark-pc-ubuntu,U=70390
1772425313.732433_4391.mark-pc-ubuntu,U=129527
1772227081.39996_25360.mark-pc-ubuntu,U=25360
1772308487.161440_6431.mark-pc-ubuntu,U=75795
1772262651.39996_69247.mark-pc-ubuntu,U=69247
1772451396.732433_33259.mark-pc-ubuntu,U=158395
1772308827.161440_7119.mark-pc-ubuntu,U=76483
1772235143.39996_42026.mark-pc-ubuntu,U=42026
1772515954.1420016_15351.mark-pc-ubuntu,U=190261
1772487343.732433_43898.mark-pc-ubuntu,U=169034
1772452734.732433_33903.mark-pc-ubuntu,U=159039
1772310926.161440_10065.mark-pc-ubuntu,U=79429
1772426361.732433_6518.mark-pc-ubuntu,U=131654
1772232386.39996_37642.mark-pc-ubuntu,U=37642
1772219653.39996_8187.mark-pc-ubuntu,U=8187
1772463419.732433_37999.mark-pc-ubuntu,U=163135
1772516439.1420016_15909.mark-pc-ubuntu,U=190819
1772424653.732433_2862.mark-pc-ubuntu,U=127998
1772222022.39996_14293.mark-pc-ubuntu,U=14293
1772227158.39996_25634.mark-pc-ubuntu,U=25634
1772414142.454304_7720.mark-pc-ubuntu,U=108793
1772320550.161440_24771.mark-pc-ubuntu,U=94135
1772303514.161440_991.mark-pc-ubuntu,U=70355
1772245940.39996_57466.mark-pc-ubuntu,U=57466
1772504397.1420016_44.mark-pc-ubuntu,U=174954
1772223512.39996_18291.mark-pc-ubuntu,U=18291
1772243022.39996_53917.mark-pc-ubuntu,U=53917
1772446584.732433_30542.mark-pc-ubuntu,U=155678
1772562887.1420016_52224.mark-pc-ubuntu,U=227134
1772448879.732433_31927.mark-pc-ubuntu,U=157063
1772417861.454304_15176.mark-pc-ubuntu,U=116249
1772230495.39996_33868.mark-pc-ubuntu,U=33868
1772253750.39996_64756.mark-pc-ubuntu,U=64756
1772229499.39996_31430.mark-pc-ubuntu,U=31430
1772501833.732433_47680.mark-pc-ubuntu,U=172816
1772417534.454304_13477.mark-pc-ubuntu,U=114550
1772302295.161440_529.mark-pc-ubuntu,U=69893
1772219399.39996_7190.mark-pc-ubuntu,U=7190
1772431267.732433_13820.mark-pc-ubuntu,U=138956
1772219762.39996_9427.mark-pc-ubuntu,U=9427
1772428213.732433_8884.mark-pc-ubuntu,U=134020
1772474280.732433_41028.mark-pc-ubuntu,U=166164
1772536251.1420016_38888.mark-pc-ubuntu,U=213798
1772522111.1420016_23653.mark-pc-ubuntu,U=198563
1772317854.161440_20174.mark-pc-ubuntu,U=89538
1772507985.1420016_4557.mark-pc-ubuntu,U=179467
1772252301.39996_63778.mark-pc-ubuntu,U=63778
1772441446.732433_26527.mark-pc-ubuntu,U=151663
1772526469.1420016_29228.mark-pc-ubuntu,U=204138
1772532410.1420016_35662.mark-pc-ubuntu,U=210572
1772237307.39996_45829.mark-pc-ubuntu,U=45829
1772418716.454304_17401.mark-pc-ubuntu,U=118474
1772253080.39996_64312.mark-pc-ubuntu,U=64312
1772448814.732433_31890.mark-pc-ubuntu,U=157026
1772316064.161440_17480.mark-pc-ubuntu,U=86844
1772413782.454304_4834.mark-pc-ubuntu,U=105907
1772460190.732433_36918.mark-pc-ubuntu,U=162054
1772226091.39996_23452.mark-pc-ubuntu,U=23452
1772250078.39996_62014.mark-pc-ubuntu,U=62014
1772420920.454304_20106.mark-pc-ubuntu,U=121179
1772493118.732433_44985.mark-pc-ubuntu,U=170121
1772437380.732433_21946.mark-pc-ubuntu,U=147082
1772228902.39996_30238.mark-pc-ubuntu,U=30238
1772428038.732433_8596.mark-pc-ubuntu,U=133732
1772259633.39996_67926.mark-pc-ubuntu,U=67926
1772226542.39996_24252.mark-pc-ubuntu,U=24252
1772227357.39996_26139.mark-pc-ubuntu,U=26139
1772555741.1420016_49497.mark-pc-ubuntu,U=224407
1772318395.161440_20829.mark-pc-ubuntu,U=90193
1772319182.161440_21933.mark-pc-ubuntu,U=91297
1772522027.1420016_23525.mark-pc-ubuntu,U=198435
1772223408.39996_17832.mark-pc-ubuntu,U=17832
1772234863.39996_41486.mark-pc-ubuntu,U=41486
1772506717.1420016_2754.mark-pc-ubuntu,U=177664
1772432709.732433_15756.mark-pc-ubuntu,U=140892
1772222438.39996_15178.mark-pc-ubuntu,U=15178
1772305941.161440_3304.mark-pc-ubuntu,U=72668
1772308751.161440_6975.mark-pc-ubuntu,U=76339
1772413781.454304_4825.mark-pc-ubuntu,U=105898
1772258937.39996_67594.mark-pc-ubuntu,U=67594
1772244211.39996_55436.mark-pc-ubuntu,U=55436
1772222794.39996_16223.mark-pc-ubuntu,U=16223
1772441338.732433_26422.mark-pc-ubuntu,U=151558
1772311341.161440_10529.mark-pc-ubuntu,U=79893
1772243989.39996_55201.mark-pc-ubuntu,U=55201
1772564732.1420016_52860.mark-pc-ubuntu,U=227770
1772225136.39996_22238.mark-pc-ubuntu,U=22238
1772224311.39996_20908.mark-pc-ubuntu,U=20908
1772414396.454304_8450.mark-pc-ubuntu,U=109523
1772257391.39996_66829.mark-pc-ubuntu,U=66829
1772230734.39996_34507.mark-pc-ubuntu,U=34507
1772235408.39996_42531.mark-pc-ubuntu,U=42531
1772317730.161440_20010.mark-pc-ubuntu,U=89374
1772441591.732433_26665.mark-pc-ubuntu,U=151801
1772250940.39996_62738.mark-pc-ubuntu,U=62738
1772434201.732433_17966.mark-pc-ubuntu,U=143102
1772558213.1420016_50489.mark-pc-ubuntu,U=225399
1772222492.39996_15347.mark-pc-ubuntu,U=15347
1772436699.732433_21098.mark-pc-ubuntu,U=146234
1772508922.1420016_5678.mark-pc-ubuntu,U=180588
1772528759.1420016_31950.mark-pc-ubuntu,U=206860
1772218934.39996_3646.mark-pc-ubuntu,U=3646
1772234371.39996_40521.mark-pc-ubuntu,U=40521
1772250034.39996_61975.mark-pc-ubuntu,U=61975
1772237874.39996_46775.mark-pc-ubuntu,U=46775
1772229226.39996_30926.mark-pc-ubuntu,U=30926
1772447164.732433_30907.mark-pc-ubuntu,U=156043
1772413849.454304_5617.mark-pc-ubuntu,U=106690
1772428966.732433_10152.mark-pc-ubuntu,U=135288
1772261781.39996_68881.mark-pc-ubuntu,U=68881
1772434396.732433_18220.mark-pc-ubuntu,U=143356
1772224971.39996_22034.mark-pc-ubuntu,U=22034
1772421788.454304_22807.mark-pc-ubuntu,U=123880
1772526603.1420016_29386.mark-pc-ubuntu,U=204296
1772524574.1420016_26724.mark-pc-ubuntu,U=201634
1772235288.39996_42321.mark-pc-ubuntu,U=42321
1772524794.1420016_27045.mark-pc-ubuntu,U=201955
1772256739.39996_66495.mark-pc-ubuntu,U=66495
1772324471.5014_1011.mark-pc-ubuntu,U=99447
1772253033.39996_64280.mark-pc-ubuntu,U=64280
1772302258.161440_515.mark-pc-ubuntu,U=69879
1772253170.39996_64374.mark-pc-ubuntu,U=64374
1772224770.39996_21794.mark-pc-ubuntu,U=21794
1772423598.732433_734.mark-pc-ubuntu,U=125870
1772595965.2229872_1228.mark-pc-ubuntu,U=237319
1772308272.161440_5970.mark-pc-ubuntu,U=75334
1772423831.732433_1322.mark-pc-ubuntu,U=126458
1772319872.161440_23577.mark-pc-ubuntu,U=92941
1772525459.1420016_27935.mark-pc-ubuntu,U=202845
1772221994.39996_14269.mark-pc-ubuntu,U=14269
1772301455.161440_201.mark-pc-ubuntu,U=69565
1772223118.39996_16880.mark-pc-ubuntu,U=16880
1772509399.1420016_6213.mark-pc-ubuntu,U=181123
1772523236.1420016_25069.mark-pc-ubuntu,U=199979
1772417364.454304_12434.mark-pc-ubuntu,U=113507
1772305008.161440_1965.mark-pc-ubuntu,U=71329
1772260333.39996_68246.mark-pc-ubuntu,U=68246
1772226223.39996_23655.mark-pc-ubuntu,U=23655
1772247542.39996_59536.mark-pc-ubuntu,U=59536
1772240312.39996_50375.mark-pc-ubuntu,U=50375
1772218716.39996_2292.mark-pc-ubuntu,U=2292
